"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","mouser","lcsc"
"D1,D2","2","S1BB-13-F","","","","Diode_SMD:D_SMB_Handsoldering",""," 621-RS1BB-13-F ","C151322"
"D3,D4,D5","3","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","","859-LTST-C150EKT,859-LTST-C230GKT,859-LTST-C250TBKT","C2980185,C51933316,C7433006"
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_2.7mm_M2.5_DIN965","","",""
"J1","1","Raspberry_Pi_2_3","","","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","",""
"J2","1","Barrel_Jack_Switch_Pin3Ring","","","","Connector_BarrelJack:BarrelJack_Horizontal","","",""
"J3","1","Screw_Terminal_01x06","","","","TerminalBlock:TerminalBlock_bornier-6_P5.08mm","","490-TB006-508-06BE ","C22450486"
"J4","1","Conn_01x04_Female","","","","Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal","","",""
"J5","1","Conn_01x03_Female","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"K1,K2","2","G5V-1","","","","Relay_THT:Relay_SPDT_Omron_G5V-1","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf","653-G5V-1-DC5 ","C28695"
"Q1","1","FQP27P06","","","","Package_TO_SOT_SMD:TO-263-2","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF"," 512-FQP27P06 ","C462764"
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","637-BC817-25 ","C22400355"
"R1,R2,R3,R4,R7,R8,R9","7","1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""," 279-CRGCQ1206F1K0 ","C164026"
"R5,R6","2","4k7","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","791-WR12X4701FTL","C137262"
"U1,U2","2","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","621-DPC817D-A-TU","C50229500"
